For a 8x8 Quoridor board with up to 20 fences.
Fences,Ways
0,="1"
1,="128"
2,="7952"
3,="319520"
4,="9336404"
5,="211491832"
6,="3866372136"
7,="58636760064"
8,="752598563471"
9,="8299064015840"
10,="79553115046808"
11,="669107731222152"
12,="4975324689992572"
13,="32909303106095952"
14,="194630399392814948"
15,="1033594027192431392"
16,="4946375599891710379"
17,="21395456537906592712"
18,="83857388242244068776"
19,="298437313361130100776"
20,="966064728491347230956"
Total,="1375968129062134174771"
